Name,City,Cuisine,Rating,Price,Count,Reviews,RestID
Martine of Martine's Table,Amsterdam,"('French', 'Dutch', 'European')",5.0,50.0,136.0,"Just like home, A Warm Welcome to Wintry Amsterdam",1
De Silveren Spiegel,Amsterdam,"('Dutch', 'European', 'Vegetarian Friendly', 'Gluten Free Options')",4.5,100.0,812.0,"Great food and staff, just perfect",2
La Rive,Amsterdam,"('Mediterranean', 'French', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options')",4.5,100.0,567.0,"Satisfaction, Delicious old school restaurant",3
Vinkeles,Amsterdam,"('French', 'European', 'International', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",5.0,100.0,564.0,"True five star dinner, A superb evening of fine dining, hospitali...",4
Librije's Zusje Amsterdam,Amsterdam,"('Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,100.0,316.0,"Best meal.... EVER, super food experience",5
Ciel Bleu Restaurant,Amsterdam,"('Contemporary', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,100.0,745.0,"A treat!, Wow just Wow",6
Zaza's,Amsterdam,"('French', 'International', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,1455.0,"40th Birthday with my Family, One of the best meals ever!",7
Blue Pepper Restaurant And Candlelight Cruises,Amsterdam,"('Asian', 'Indonesian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,100.0,675.0,"Great Experience, A true delight",8
Teppanyaki Restaurant Sazanka,Amsterdam,"('Japanese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,100.0,923.0,"Great Food & Service!, Superior food and exciting setting around...",9
Rob Wigboldus Vishandel,Amsterdam,"('Dutch', 'Seafood', 'Fast Food')",4.5,20.0,450.0,"Excellent Herring, Lovely, rustic fish shop in the smack of A...",10
The Happy Bull,Amsterdam,"('American', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options')",4.5,50.0,295.0,"Simply AMAZING!, Delicious Burgers",11
Gartine,Amsterdam,"('French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,967.0,"A hidden gem, Fantastic!",12
Restaurant Adam,Amsterdam,"('French', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,100.0,368.0,"Love it!, As pure as Paradise: Adam!",13
Biercafe Gollem,Amsterdam,"('Bar', 'Pub')",4.5,50.0,586.0,"Awesome little pub, An amazing little place with a vast choice...",14
Restaurant Daalder,Amsterdam,"('French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,100.0,1246.0,"Best meal of our trip, It was like falling in love..",15
Greenwoods Keizersgracht,Amsterdam,"('Dutch', 'Cafe', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,1391.0,"So. Much. Food, Hidden Gem",16
Omelegg - City Centre,Amsterdam,"('Dutch', 'European', 'Healthy', 'International', 'Vegetarian Friendly', 'Gluten Free Options')",4.5,20.0,1633.0,"Brunch, Worth the wait!",17
Brasserie Ambassade,Amsterdam,"('French', 'Bar', 'International', 'European', 'Seafood', 'Vegetarian Friendly', 'Gluten Free Options')",4.5,100.0,958.0,"Wonderful Christmas dinner, Fantastic restaurant with impeccable servi...",18
Sherpa Restaurant,Amsterdam,"('Indian', 'Tibetan', 'Nepali', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,426.0,"Very good tibetan and indian food, Wonderful meal",19
La Maschera Lillotatini,Amsterdam,"('Italian', 'Mediterranean', 'European', 'Vegetarian Friendly')",4.5,50.0,421.0,"Fabulous Italian Food, One of the best meals of my life!",20
Senses Restaurant,Amsterdam,"('International', 'European')",4.5,100.0,1380.0,"Always A Special Experience, Excellent",21
MOS Amsterdam,Amsterdam,"('French', 'Dutch', 'Seafood', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options')",4.5,100.0,239.0,"Amazing Place, Four course feast!",22
Restaurant Vlaming,Amsterdam,"('Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,996.0,"nice, Review of vlaming",23
Arendsnest Dutch Beer Bar,Amsterdam,"('Dutch', 'Bar', 'Pub')",4.5,,716.0,"""Its a definitive must visit for beer enth..."", Great Beer in a cozy little spot",24
Jacketz,Amsterdam,"('Dutch', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,1958.0,"Excellent quality baked potato, AMZING !!",25
Greenwoods Singel,Amsterdam,"('Cafe', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,2360.0,"Great Breakfast, Amazing food !",26
Bord'Eau,Amsterdam,"('French', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options')",4.5,100.0,666.0,"One of the best restaurants in Europe, Amazing food, marred by chaotic service",27
Omelegg - De Pijp,Amsterdam,"('Dutch', 'Cafe', 'European', 'Healthy', 'Central European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,20.0,1642.0,"BEST BREAKFAST, Amazing breakfast 😍",28
Harmsen,Amsterdam,"('Dutch', 'European', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,344.0,"Last night in Amsterdam, Definitely will return",29
Brasserie SenT,Amsterdam,"('Barbecue', 'French', 'Steakhouse', 'European', 'International', 'Vegetarian Friendly', 'Gluten Free Options')",4.5,50.0,646.0,"except;;ent, These people know what they are doing!",30
MAX Amsterdam,Amsterdam,"('European', 'Contemporary', 'Indonesian', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options')",4.5,50.0,1869.0,"Our Must-Do, Great Indonesian Fusion",31
Restaurant Argentino Luna,Amsterdam,"('Steakhouse', 'Latin', 'Barbecue', 'Argentinean', 'South American', 'Gluten Free Options')",4.5,50.0,821.0,"Excellent, Great little find",32
Lombardo's,Amsterdam,"('Barbecue', 'American', 'Grill', 'Delicatessen')",4.5,50.0,2052.0,"Best burger in the world so far, How burgers should be!",33
Midtown Grill,Amsterdam,"('Barbecue', 'American', 'Steakhouse', 'European')",4.5,100.0,1181.0,"Mouthwatering dry aged heavenlyness, Great food",34
